original_address	engagement_date	mar_full_address	mar_latitude	mar_longitude	mar_ward	mar_census_tract	mar_cluster	mar_anc	mar_psa	mar_precinct	mar_zip	mar_has_condo	mar_has_res	mar_res_type	mar_confidence	mar_x	mar_y	mar_id	diagnostic
"NoMa - Underpass(es)"	"6/7/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"12/21/2017"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"12/13/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"11/22/2016"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"8/30/2016"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"5/24/2016"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"6/20/2017"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"12/13/2016"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"6/29/2017"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"8/14/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"11/8/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"4/5/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"9/13/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"5/3/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"1/24/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"7/31/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"8/30/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"10/19/2017"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"9/28/2017"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"10/3/2017"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"5/18/2017"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"10/25/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"11/27/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"8/29/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"7/12/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"6/28/2016"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"11/10/2016"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa -First St NE"	"3/13/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.27"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"North Borough Bridge"	"5/4/2017"	"null"	"38.87201686"	"-76.98965278"	"Ward 6"	"007100"	"null"	"ANC 6B"	"Police Service Area 106"	"Precinct 91"	"20003"	"N"	"N"	"NON RESIDENTIAL"	"56.11"	"400897.91"	"133798.97"	"311620"	"address matched (1)"
"North Capitol and O streets, NE"	"4/15/2015"	""	"38.90856935456080"	"-77.00891294019020"	"Ward 5"	""	""	""	""	""	""	""	""	""	"75.0"	""	""	"913904"	"address matched (1)"
"Northeast Library"	"3/27/2018"	"330 7TH STREET NE"	"38.89440853"	"-76.99643011"	"Ward 6"	"008302"	"Cluster 25"	"ANC 6C"	"Police Service Area 108"	"Precinct 85"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"84.51"	"400309.69"	"136284.61"	"37106"	"address matched (1)"
"Randall Rec Center"	"5/25/2018"	"820 SOUTH CAPITOL STREET SW"	"38.87956498"	"-77.00941077"	"Ward 6"	"010500"	"Cluster 9"	"ANC 6D"	"Police Service Area 103"	"Precinct 128"	"20024"	"N"	"N"	"NON RESIDENTIAL"	"91.07"	"399183.44"	"134636.86"	"276842"	"address matched (1)"
"Randall Rec Center"	"12/6/2018"	"820 SOUTH CAPITOL STREET SW"	"38.87956498"	"-77.00941077"	"Ward 6"	"010500"	"Cluster 9"	"ANC 6D"	"Police Service Area 103"	"Precinct 128"	"20024"	"N"	"N"	"NON RESIDENTIAL"	"91.07"	"399183.44"	"134636.86"	"276842"	"address matched (1)"
"Reeves Center"	"8/23/2018"	"2000 14TH STREET NW"	"38.91756930"	"-77.03251498"	"Ward 1"	"004300"	"Cluster 3"	"ANC 1B"	"Police Service Area 301"	"Precinct 22"	"20009"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"397180.22"	"138856.14"	"239976"	"address matched (1)"
"Reeves Center"	"10/18/2018"	"2000 14TH STREET NW"	"38.91756930"	"-77.03251498"	"Ward 1"	"004300"	"Cluster 3"	"ANC 1B"	"Police Service Area 301"	"Precinct 22"	"20009"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"397180.22"	"138856.14"	"239976"	"address matched (1)"
"Reeves Center"	"12/18/2018"	"2000 14TH STREET NW"	"38.91756930"	"-77.03251498"	"Ward 1"	"004300"	"Cluster 3"	"ANC 1B"	"Police Service Area 301"	"Precinct 22"	"20009"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"397180.22"	"138856.14"	"239976"	"address matched (1)"
"Reeves Center"	"6/28/2018"	"2000 14TH STREET NW"	"38.91756930"	"-77.03251498"	"Ward 1"	"004300"	"Cluster 3"	"ANC 1B"	"Police Service Area 301"	"Precinct 22"	"20009"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"397180.22"	"138856.14"	"239976"	"address matched (1)"
"Seward Square (5th & Penn SE)"	"7/11/2017"	"null"	"38.88620932"	"-76.99942774"	"Ward 6"	"006600"	"Cluster 26"	"ANC 6B"	"Police Service Area 107"	"Precinct 89"	"20003"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"400049.65"	"135374.39"	"294397"	"address matched (1)"
"Seward Square (6th & PA Avenue SE)"	"9/6/2016"	"null"	"38.88620932"	"-76.99942774"	"Ward 6"	"006600"	"Cluster 26"	"ANC 6B"	"Police Service Area 107"	"Precinct 89"	"20003"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"400049.65"	"135374.39"	"294397"	"address matched (1)"
"Seward Square"	"11/30/2017"	"null"	"38.88620932"	"-76.99942774"	"Ward 6"	"006600"	"Cluster 26"	"ANC 6B"	"Police Service Area 107"	"Precinct 89"	"20003"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"400049.65"	"135374.39"	"294397"	"address matched (1)"
"Southwest Freeway (12th Street exit)"	"11/15/2015"	"null"	"38.882799"	"-77.028051"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"address not matched (2)"
"Virginia and South Capitol SE"	"6/6/2017"	""	"38.88229566498980"	"-77.00906146533020"	"Ward 6"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"904586"	"address matched (1)"
"Washington Circle"	"3/23/2018"	"null"	"38.90252894"	"-77.05011218"	"Ward 2"	"005500"	"Cluster 5"	"ANC 2A"	"Police Service Area 207"	"Precinct 4"	"20037"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"395653.23"	"137187.19"	"294277"	"address matched (1)"
"Washington Circle"	"11/17/2016"	"null"	"38.90252894"	"-77.05011218"	"Ward 2"	"005500"	"Cluster 5"	"ANC 2A"	"Police Service Area 207"	"Precinct 4"	"20037"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"395653.23"	"137187.19"	"294277"	"address matched (1)"
"Washington Circle"	"3/29/2017"	"null"	"38.90252894"	"-77.05011218"	"Ward 2"	"005500"	"Cluster 5"	"ANC 2A"	"Police Service Area 207"	"Precinct 4"	"20037"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"395653.23"	"137187.19"	"294277"	"address matched (1)"
"Washington Circle"	"10/16/2018"	"null"	"38.90252894"	"-77.05011218"	"Ward 2"	"005500"	"Cluster 5"	"ANC 2A"	"Police Service Area 207"	"Precinct 4"	"20037"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"395653.23"	"137187.19"	"294277"	"address matched (1)"
"Washington Circle"	"10/5/2017"	"null"	"38.90252894"	"-77.05011218"	"Ward 2"	"005500"	"Cluster 5"	"ANC 2A"	"Police Service Area 207"	"Precinct 4"	"20037"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"395653.23"	"137187.19"	"294277"	"address matched (1)"
"Washington Circle"	"10/25/2016"	"null"	"38.90252894"	"-77.05011218"	"Ward 2"	"005500"	"Cluster 5"	"ANC 2A"	"Police Service Area 207"	"Precinct 4"	"20037"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"395653.23"	"137187.19"	"294277"	"address matched (1)"
"Washington Circle"	"11/13/2018"	"null"	"38.90252894"	"-77.05011218"	"Ward 2"	"005500"	"Cluster 5"	"ANC 2A"	"Police Service Area 207"	"Precinct 4"	"20037"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"395653.23"	"137187.19"	"294277"	"address matched (1)"
"Washington Circle"	"1/21/2016"	"null"	"38.90252894"	"-77.05011218"	"Ward 2"	"005500"	"Cluster 5"	"ANC 2A"	"Police Service Area 207"	"Precinct 4"	"20037"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"395653.23"	"137187.19"	"294277"	"address matched (1)"
"Washington Circle"	"9/21/2018"	"null"	"38.90252894"	"-77.05011218"	"Ward 2"	"005500"	"Cluster 5"	"ANC 2A"	"Police Service Area 207"	"Precinct 4"	"20037"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"395653.23"	"137187.19"	"294277"	"address matched (1)"
"Washington Circle"	"9/20/2016"	"null"	"38.90252894"	"-77.05011218"	"Ward 2"	"005500"	"Cluster 5"	"ANC 2A"	"Police Service Area 207"	"Precinct 4"	"20037"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"395653.23"	"137187.19"	"294277"	"address matched (1)"
"Whitehurst Fwy"	"10/2/2018"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"address not matched (2)"
